CityID;CityName;StateProvinceID;Latitude;Longitude;LatestRecordedPopulation
838;Andrew;19;30.0849269;-92.2429057;NULL
839;Andrews;15;40.8625448;-85.6016458;1149
840;Andrews;34;35.2017549;-83.8240667;1781
841;Andrews;42;33.451278;-79.5608971;2861
842;Andrews;45;32.3187158;-102.5457155;11088
843;Andrix;6;37.2794624;-103.1927114;NULL
844;Anegam;3;32.3728432;-112.0309692;151
845;Aneta;35;47.6794377;-97.9881509;222
846;Aneth;46;37.216108;-109.187057;501
847;Angel Fire;32;36.3930879;-105.2850091;1216
848;Angela;27;46.730002;-106.2011344;NULL
849;Angeles;45;31.9015146;-103.9624217;NULL
850;Angelica;52;44.6738809;-88.3137133;92
851;Angelica;33;42.3067345;-78.0158388;869
852;Angelo;52;43.9707992;-90.7779121;NULL
853;Angels;5;38.0706893;-120.5501372;3836
854;Angelus;17;39.1911181;-100.6843115;NULL
855;Angie;19;30.9665729;-89.8095208;251
856;Angier;34;35.5071045;-78.7391813;4350
857;Angiola;5;35.9891192;-119.4759537;NULL
858;Angle;46;38.2491504;-111.9765847;NULL
859;Angle Inlet;24;49.3452738;-95.062738;60
860;Angleton;45;29.16941;-95.4318847;18862
861;Angola;17;37.1056293;-95.4494197;NULL
862;Angola;33;42.6383925;-79.0278156;2127
863;Angola;15;41.6347726;-84.9994088;8612
864;Angola on the Lake;33;42.6547811;-79.0489273;1675
865;Angoon;2;57.5033333;-134.5838889;459
866;Angora;24;47.7749204;-92.6340652;NULL
867;Angora;28;41.8519134;-103.1252082;NULL
868;Anguilla;25;32.9740155;-90.8245437;726
869;Angus;45;32.0062671;-96.4330375;414
870;Angus;28;40.2822308;-97.9794853;NULL
871;Angus;24;48.081085;-96.7031179;NULL
872;Angwin;5;38.5757402;-122.4499796;3051
873;Aniak;2;61.5783333;-159.5222222;501
874;Animas;40;18.4455016;-66.6348964;1203
875;Animas;32;31.9489799;-108.8072777;237
876;Anita;39;41.001453;-78.9630893;NULL
877;Anita;16;41.445265;-94.7647015;972
878;Aniwa;52;45.0085802;-89.2142801;260
879;Ankeny;16;41.7297102;-93.6057734;45582
880;Ankenytown;36;40.534227;-82.5048871;NULL
881;Ankona;10;27.3405984;-80.2750488;NULL
882;Anmoore;51;39.2567572;-80.2923107;770
883;Ann Arbor;23;42.2708716;-83.7263294;113934
884;Anna;14;37.4603274;-89.2470282;4442
885;Anna;45;33.3490012;-96.5485991;8249
886;Anna;36;40.3944932;-84.1727231;1567
887;Anna Maria;10;27.5311474;-82.7334334;1503
888;Annabella;46;38.7091363;-112.0599249;795
889;Annada;26;39.2611584;-90.8276282;29
890;Annamoriah;51;38.9406392;-81.227061;NULL
891;Annandale;49;38.8303905;-77.1963703;41008
892;Annandale;24;45.2627428;-94.1244271;3228
893;Annapolis;21;38.9784453;-76.4921829;38394
894;Annapolis;26;37.3603272;-90.6976197;345
895;Annapolis;50;47.5475957;-122.6206931;NULL
896;Annapolis;14;39.1444842;-87.8166964;55
897;Annawan;14;41.3972573;-89.9045518;878
898;Anneta;18;37.370885;-86.2452509;NULL
899;Annetta;45;32.709297;-97.6761384;1288
900;Annetta North;45;32.7192966;-97.6758608;518
901;Annetta South;45;32.6681874;-97.6605822;526
902;Annette;2;55.0616667;-131.5416667;NULL
903;Annex;38;44.2401641;-116.9843331;235
904;Anniston;26;36.8258878;-89.3278513;232
905;Anniston;1;33.6598257;-85.8316318;23106
906;Annona;45;33.5806657;-94.9154952;315
907;Annsville;33;41.3075939;-73.927916;NULL
908;Annville;18;37.3192547;-83.9704832;1095
909;Annville;39;40.3295359;-76.5152443;4767
910;Anoka;24;45.1977428;-93.3871758;17142
911;Anoka;28;42.9469422;-98.8309221;6
912;Anon Raices;40;18.1391575;-66.5865124;287
913;Anselma;39;40.0814929;-75.6418715;NULL
914;Anselmo;28;41.6186139;-99.8651238;145
915;Ansley;28;41.2877859;-99.3817682;441
916;Ansley;25;30.2251968;-89.4836622;NULL
917;Ansley;19;32.3957084;-92.6929289;NULL
918;Ansley;1;31.8862644;-86.1157906;NULL
919;Anson;17;37.3652979;-97.5297704;NULL
920;Anson;52;44.9807952;-91.2868188;NULL
921;Anson;45;32.7565042;-99.896207;2430
922;Anson;20;44.798393;-69.8892241;752
923;Ansonia;7;41.3462078;-73.0789969;19249
924;Ansonia;36;40.214492;-84.6369011;1174
925;Ansonville;34;35.1045943;-80.1092259;631
926;Ansted;51;38.1362201;-81.0995479;1404
927;Anston;52;44.6172144;-88.160381;NULL
928;Antares;3;35.419715;-113.8085563;126
929;Antelope;5;38.7082357;-121.3299513;45770
